trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2020/12/24,SPF,3683.25,3687.5,16.5,0.45%,107,3687.5,307,202103
2020/12/24,SPF,-,-,-,-,0,3647.5,0,202203
2020/12/25,SPF,3692.5,3694.25,6.75,0.18%,18,3694.25,297,202103
2020/12/25,SPF,-,-,-,-,0,3654.25,0,202203
2020/12/28,SPF,3709.5,3717.25,23,0.62%,21,3717.25,302,202103
2020/12/28,SPF,-,-,-,-,0,3677.25,0,202203
2020/12/29,SPF,3739.75,3743.25,26,0.70%,113,3743.25,271,202103
2020/12/29,SPF,-,-,-,-,0,3703.25,0,202203
2020/12/30,SPF,3720.75,3735.75,-7.5,-0.20%,110,3735.75,353,202103
2020/12/30,SPF,-,-,-,-,0,3695.75,0,202203
2020/12/31,SPF,3727.75,3724,-11.75,-0.31%,5,3724,415,202103
2020/12/31,SPF,-,-,-,-,0,3684,0,202203
2021/1/4,SPF,3742,3746,22,0.59%,107,3746,456,202103
2021/1/4,SPF,-,-,-,-,0,3706,0,202203
2021/1/5,SPF,3697.75,3691,-55,-1.47%,139,3691,473,202103
2021/1/5,SPF,-,-,-,-,0,3651,0,202203
2021/1/6,SPF,3732.75,3702.25,11.25,0.30%,811,3702.5,476,202103
2021/1/6,SPF,-,-,-,-,0,3662.5,0,202203
2021/1/7,SPF,3750.75,3759.5,57,1.54%,58,3759.5,440,202103
2021/1/7,SPF,-,-,-,-,0,3719.5,0,202203
2021/1/8,SPF,3803.5,3814,54.5,1.45%,42,3814,442,202103
2021/1/8,SPF,-,-,-,-,0,3774,0,202203
2021/1/11,SPF,3804.75,3795.75,-18.25,-0.48%,292,3795.75,478,202103
2021/1/11,SPF,-,-,-,-,0,3755.75,0,202203
2021/1/12,SPF,3803,3795,-0.75,-0.02%,147,3795,417,202103
2021/1/12,SPF,-,-,-,-,0,3755,0,202203
2021/1/13,SPF,3796,3798.25,3.25,0.09%,52,3798.25,345,202103
2021/1/13,SPF,-,-,-,-,0,3758.25,0,202203
2021/1/14,SPF,3813.75,3810.25,12,0.32%,46,3810.25,339,202103
2021/1/14,SPF,-,-,-,-,0,3770.25,0,202203
2021/1/15,SPF,3790.25,3771.5,-38.75,-1.02%,45,3771.5,311,202103
2021/1/15,SPF,-,-,-,-,0,3731.5,0,202203
2021/1/18,SPF,3755.5,3757.25,-14.25,-0.38%,35,3757.25,309,202103
2021/1/18,SPF,-,-,-,-,0,3717.25,0,202203
