trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2018/3/23,SPF,2630.25,2630,-99.5,-3.65%,69,2630,53,201809
2018/3/26,SPF,2614.25,2622.25,-7.75,-0.29%,43,2622.25,103,201809
2018/3/27,SPF,2675.5,2675.25,53,2.02%,16,2675.25,93,201809
2018/3/28,SPF,2621.5,2622.25,-53,-1.98%,75,2609.5,43,201809
2018/3/29,SPF,2610.25,2611.25,1.75,0.07%,2,2611.25,46,201809
2018/3/30,SPF,-,-,-,-,0,2643.75,57,201809
2018/3/31,SPF,-,-,-,-,0,2649,57,201809
2018/4/2,SPF,2641.75,2640,-9,-0.34%,18,2640,62,201809
2018/4/3,SPF,2591.5,2588.25,-51.75,-1.96%,16,2588.25,79,201809
2018/4/9,SPF,2621.75,2626.5,38.25,1.48%,80,2626.5,63,201809
2018/4/10,SPF,2622.5,2651.25,24.75,0.94%,400,2651.25,35,201809
2018/4/11,SPF,2647,2647,-4.25,-0.16%,11,2647,50,201809
2018/4/12,SPF,-,-,-,-,0,2651,86,201809
2018/4/13,SPF,2661,2660.75,9.75,0.37%,26,2664.75,109,201809
2018/4/16,SPF,2674,2673,8.25,0.31%,23,2673,100,201809
2018/4/17,SPF,2695.75,2696.5,23.5,0.88%,37,2696.5,147,201809
2018/4/18,SPF,2715,2715,18.5,0.69%,1,2717.75,152,201809
2018/4/19,SPF,-,-,-,-,0,2715.5,143,201809
2018/4/20,SPF,2700.5,2700.5,-15,-0.55%,2,2700.5,154,201809
2018/4/23,SPF,2681.75,2681,-19.5,-0.72%,2,2684.25,128,201809
2018/4/24,SPF,2682.25,2682,-2.25,-0.08%,13,2682,106,201809
2018/4/25,SPF,2643.75,2637,-45,-1.68%,5,2637,87,201809
2018/4/26,SPF,2658,2649,12,0.46%,40,2649,99,201809
2018/4/27,SPF,-,-,-,-,0,2672.75,109,201809
2018/4/30,SPF,-,-,-,-,0,2683,98,201809
2018/5/2,SPF,2652,2652.25,-30.75,-1.15%,2,2652.25,97,201809
2018/5/3,SPF,2632,2633,-19.25,-0.73%,3,2633,84,201809
2018/5/4,SPF,2629,2636.5,3.5,0.13%,2,2636.5,84,201809
2018/5/7,SPF,2676,2676,39.5,1.50%,16,2676,87,201809
2018/5/8,SPF,2674,2674,-2,-0.07%,1,2674,101,201809
2018/5/9,SPF,-,-,-,-,0,2675.5,113,201809
2018/5/10,SPF,2703,2706,30.5,1.14%,5,2706,128,201809
2018/5/11,SPF,2725.25,2726.5,20.5,0.76%,45,2726.5,150,201809
2018/5/14,SPF,2740,2742,15.5,0.57%,2,2742,152,201809
2018/5/15,SPF,2731,2731,-11,-0.40%,1,2731,125,201809
2018/5/16,SPF,-,-,-,-,0,2716,94,201809
2018/5/17,SPF,2726.25,2726.25,10.25,0.38%,5,2726.25,97,201809
2018/5/18,SPF,-,-,-,-,0,2728.75,127,201809
2018/5/21,SPF,2735.25,2735.25,6.5,0.24%,2,2735.25,113,201809
2018/5/22,SPF,2737,2737,1.75,0.06%,1,2737,125,201809
2018/5/23,SPF,2730.25,2723.5,-13.5,-0.49%,46,2723.5,132,201809
2018/5/24,SPF,2729.5,2729.5,6,0.22%,2,2729.5,135,201809
2018/5/25,SPF,2739,2740.25,10.75,0.39%,43,2740.25,148,201809
2018/5/28,SPF,2734.25,2734.5,-5.75,-0.21%,2,2734.5,136,201809
2018/5/29,SPF,2724.5,2721,-13.5,-0.49%,22,2721,124,201809
2018/5/30,SPF,2691.5,2696.5,-24.5,-0.90%,2,2696.5,144,201809
2018/5/31,SPF,2728.5,2728.5,32,1.19%,1,2728.5,107,201809
2018/6/1,SPF,2715.25,2715,-13.5,-0.49%,3,2715,85,201809
2018/6/4,SPF,2741.5,2743.5,28.5,1.05%,25,2743.5,87,201809
2018/6/5,SPF,2747,2747,3.5,0.13%,1,2748,130,201809
2018/6/6,SPF,2757.75,2760.25,12.25,0.45%,4,2760.25,143,201809
